,id,timestamp,src,dst,proto,sport,dport,length
0,4350,1759840464.812866,10.63.145.185,10.63.145.27,17,54127,53,92
1,4349,1759840464.811987,,,0,51861,443,92
2,4348,1759840464.653385,,,0,51861,443,98
3,4347,1759840464.618687,,,0,443,51861,259
4,4346,1759840464.595951,,,0,443,51861,86
5,4345,1759840464.510133,,,0,51861,443,91
6,4344,1759840464.332402,,,0,51861,443,94
7,4343,1759840464.29845,,,0,51861,443,94
8,4342,1759840464.297857,,,0,51861,443,96
9,4338,1759840464.297017,,,0,443,51209,76
10,4339,1759840464.297017,,,0,443,51861,183
11,4340,1759840464.297017,,,0,443,51861,646
12,4341,1759840464.297017,,,0,443,51861,89
13,4337,1759840464.207173,,,0,51861,443,678
14,4336,1759840464.206741,,,0,51861,443,229
15,4335,1759840464.205654,,,0,443,51861,1292
16,4334,1759840464.184791,,,0,443,51861,1292
17,4333,1759840464.183336,,,0,443,51861,102
18,4332,1759840464.117349,,,0,51861,443,1292
19,4331,1759840464.117115,,,0,51861,443,1292
20,4329,1759840464.11336,10.63.145.27,10.63.145.185,17,53,56204,101
21,4330,1759840464.11336,10.63.145.27,10.63.145.185,17,53,54127,113
22,4328,1759840463.958175,10.63.145.185,10.63.145.27,17,54127,53,85
23,4327,1759840463.957967,10.63.145.185,10.63.145.27,17,56204,53,85
24,4326,1759840463.95761,,,0,51209,443,185
25,4325,1759840461.367858,,,0,51209,443,74
26,4323,1759840461.318514,,,0,443,51209,76
27,4324,1759840461.318514,,,0,443,51209,193
28,4322,1759840460.946169,,,0,51209,443,316
29,4321,1759840460.706955,,,0,443,51209,86
30,4320,1759840460.21248,,,0,51209,443,75
31,4319,1759840456.006977,,,0,443,58438,76
32,4318,1759840456.006856,,,0,58438,443,86
33,4317,1759840456.006825,,,0,443,58438,133
34,4316,1759840455.689872,,,0,58438,443,140
35,4315,1759840455.688951,,,0,58438,443,86
36,4313,1759840455.688827,,,0,443,58438,133
37,4314,1759840455.688827,,,0,443,58438,133
38,4312,1759840453.172795,,,0,49761,443,74
39,4310,1759840453.12675,,,0,443,49761,76
40,4311,1759840453.12675,,,0,443,49761,168
41,4309,1759840452.718257,,,0,49761,443,2222
42,4308,1759840452.718022,,,0,49761,443,187
43,4307,1759840452.410123,,,0,443,61455,86
44,4306,1759840451.926803,,,0,61455,443,75
45,4305,1759840451.692906,,,0,443,49236,128
46,4304,1759840450.638204,,,0,443,63552,74
47,4303,1759840450.611884,10.63.145.185,142.250.193.138,6,64526,443,54
48,4302,1759840450.567194,,,0,63552,443,103
49,4301,1759840450.566718,142.250.193.138,10.63.145.185,6,443,64526,103
50,4300,1759840450.566591,,,0,443,63552,99
51,4299,1759840450.045448,10.63.145.185,10.63.145.255,17,137,137,92
52,4298,1759840449.952286,,,0,443,49761,76
53,4297,1759840449.544593,,,0,0,0,86
54,4296,1759840449.544516,,,0,0,0,86
55,4295,1759840449.286277,10.63.145.185,10.63.145.255,17,137,137,92
56,4294,1759840449.237826,,,0,49761,443,109
57,4292,1759840449.236015,,,0,443,49761,76
58,4293,1759840449.236015,,,0,443,49761,177
59,4291,1759840448.536404,10.63.145.185,10.63.145.255,17,137,137,92
60,4290,1759840448.355701,,,0,49761,443,2222
61,4289,1759840448.355564,,,0,49761,443,187
62,4287,1759840448.135956,,,0,443,49171,88
63,4288,1759840448.135956,,,0,443,49171,89
64,4286,1759840447.948134,,,0,49171,443,91
65,4285,1759840447.705841,,,0,49171,443,91
66,4284,1759840446.9963,,,0,60823,443,86
67,4283,1759840446.996246,,,0,443,60823,101
68,4282,1759840446.989603,,,0,60822,443,74
69,4281,1759840446.989468,,,0,60823,443,74
70,4276,1759840446.989215,,,0,443,60823,1275
71,4277,1759840446.989215,,,0,443,60822,1294
72,4278,1759840446.989215,,,0,443,60822,94
73,4279,1759840446.989215,,,0,443,60823,101
74,4280,1759840446.989215,,,0,443,60822,101
75,4274,1759840446.596168,,,0,443,62576,76
76,4275,1759840446.596168,,,0,443,62576,76
77,4273,1759840446.362146,,,0,62576,443,109
78,4272,1759840446.362033,,,0,62576,443,109
79,4269,1759840446.34746,,,0,443,62576,113
80,4270,1759840446.34746,,,0,443,60822,74
81,4271,1759840446.34746,,,0,443,60823,74
82,4267,1759840446.312523,,,0,443,60822,74
83,4268,1759840446.312523,,,0,443,60823,74
84,4266,1759840446.272604,,,0,60822,443,804
85,4265,1759840446.272415,,,0,60823,443,804
86,4264,1759840446.247656,,,0,60822,443,154
87,4263,1759840446.246439,,,0,60823,443,154
88,4262,1759840446.243076,,,0,60822,443,74
89,4260,1759840446.242973,,,0,443,60822,916
90,4261,1759840446.242973,,,0,443,60823,293
91,4259,1759840446.240792,,,0,60822,443,74
92,4257,1759840446.240636,,,0,443,60823,74
93,4258,1759840446.240636,,,0,443,60822,3734
94,4256,1759840446.23955,,,0,443,60822,74
95,4255,1759840446.210702,,,0,5353,5353,155
96,4254,1759840446.20913,10.63.145.27,224.0.0.251,17,5353,5353,135
97,4253,1759840446.169222,,,0,60822,443,371
98,4252,1759840446.169146,,,0,60823,443,679
99,4251,1759840446.163925,,,0,60823,443,74
100,4250,1759840446.163773,,,0,60822,443,74
101,4248,1759840446.163506,,,0,443,60822,86
102,4249,1759840446.163506,,,0,443,60823,86
103,4247,1759840446.004233,,,0,60406,443,74
104,4246,1759840446.003492,,,0,443,56978,74
105,4245,1759840446.003351,,,0,60823,443,86
106,4244,1759840446.003326,,,0,60822,443,86
107,4242,1759840446.00215,10.63.145.27,10.63.145.185,17,53,54127,347
108,4243,1759840446.00215,10.63.145.27,10.63.145.185,17,53,56204,203
109,4241,1759840445.967556,10.63.145.185,10.63.145.27,17,56204,53,91
110,4240,1759840445.967287,10.63.145.185,10.63.145.27,17,54127,53,91
111,4239,1759840445.965753,,,0,56978,443,74
112,4238,1759840445.965162,,,0,56978,443,98
113,4237,1759840445.960159,,,0,60816,443,74
114,4234,1759840445.960006,,,0,443,60816,137
115,4235,1759840445.960006,,,0,443,60406,376
116,4236,1759840445.960006,,,0,443,60816,158
